wilayah,sektor_usaha,kbli,tahun,jumlah_usaha
bantul,cafe,-,2019,340.0
bantul,cafe,-,2020,330.0
bantul,cafe,-,2021,360.0
bantul,cafe,-,2022,400.0
bantul,cafe,-,2023,450.0
bantul,convenience,-,2019,410.0
bantul,convenience,-,2020,415.0
bantul,convenience,-,2021,425.0
bantul,convenience,-,2022,440.0
bantul,convenience,-,2023,460.0
bantul,grocery,-,2019,2900.0
bantul,grocery,-,2020,2890.0
bantul,grocery,-,2021,2870.0
bantul,grocery,-,2022,2850.0
bantul,grocery,-,2023,2830.0
bantul,laundry,-,2019,280.0
bantul,laundry,-,2020,270.0
bantul,laundry,-,2021,280.0
bantul,laundry,-,2022,300.0
bantul,laundry,-,2023,320.0
bantul,restaurant,-,2019,1450.0
bantul,restaurant,-,2020,1400.0
bantul,restaurant,-,2021,1460.0
bantul,restaurant,-,2022,1540.0
bantul,restaurant,-,2023,1620.0
gunungkidul,cafe,-,2019,130.0
gunungkidul,cafe,-,2020,125.0
gunungkidul,cafe,-,2021,140.0
gunungkidul,cafe,-,2022,155.0
gunungkidul,cafe,-,2023,175.0
gunungkidul,convenience,-,2019,210.0
gunungkidul,convenience,-,2020,215.0
gunungkidul,convenience,-,2021,220.0
gunungkidul,convenience,-,2022,230.0
gunungkidul,convenience,-,2023,240.0
gunungkidul,grocery,-,2019,2100.0
gunungkidul,grocery,-,2020,2090.0
gunungkidul,grocery,-,2021,2080.0
gunungkidul,grocery,-,2022,2070.0
gunungkidul,grocery,-,2023,2060.0
gunungkidul,laundry,-,2019,90.0
gunungkidul,laundry,-,2020,85.0
gunungkidul,laundry,-,2021,92.0
gunungkidul,laundry,-,2022,100.0
gunungkidul,laundry,-,2023,110.0
gunungkidul,restaurant,-,2019,790.0
gunungkidul,restaurant,-,2020,770.0
gunungkidul,restaurant,-,2021,800.0
gunungkidul,restaurant,-,2022,840.0
gunungkidul,restaurant,-,2023,890.0
kota_yogyakarta,cafe,-,2019,510.0
kota_yogyakarta,cafe,-,2020,490.0
kota_yogyakarta,cafe,-,2021,530.0
kota_yogyakarta,cafe,-,2022,590.0
kota_yogyakarta,cafe,-,2023,660.0
kota_yogyakarta,convenience,-,2019,320.0
kota_yogyakarta,convenience,-,2020,325.0
kota_yogyakarta,convenience,-,2021,330.0
kota_yogyakarta,convenience,-,2022,340.0
kota_yogyakarta,convenience,-,2023,355.0
kota_yogyakarta,grocery,-,2019,1850.0
kota_yogyakarta,grocery,-,2020,1830.0
kota_yogyakarta,grocery,-,2021,1810.0
kota_yogyakarta,grocery,-,2022,1800.0
kota_yogyakarta,grocery,-,2023,1790.0
kota_yogyakarta,laundry,-,2019,290.0
kota_yogyakarta,laundry,-,2020,270.0
kota_yogyakarta,laundry,-,2021,285.0
kota_yogyakarta,laundry,-,2022,310.0
kota_yogyakarta,laundry,-,2023,330.0
kota_yogyakarta,restaurant,-,2019,1240.0
kota_yogyakarta,restaurant,-,2020,1180.0
kota_yogyakarta,restaurant,-,2021,1210.0
kota_yogyakarta,restaurant,-,2022,1290.0
kota_yogyakarta,restaurant,-,2023,1380.0
kulon_progo,cafe,-,2019,110.0
kulon_progo,cafe,-,2020,105.0
kulon_progo,cafe,-,2021,120.0
kulon_progo,cafe,-,2022,135.0
kulon_progo,cafe,-,2023,155.0
kulon_progo,convenience,-,2019,190.0
kulon_progo,convenience,-,2020,195.0
kulon_progo,convenience,-,2021,200.0
kulon_progo,convenience,-,2022,210.0
kulon_progo,convenience,-,2023,220.0
kulon_progo,grocery,-,2019,1750.0
kulon_progo,grocery,-,2020,1740.0
kulon_progo,grocery,-,2021,1730.0
kulon_progo,grocery,-,2022,1720.0
kulon_progo,grocery,-,2023,1710.0
kulon_progo,laundry,-,2019,85.0
kulon_progo,laundry,-,2020,80.0
kulon_progo,laundry,-,2021,88.0
kulon_progo,laundry,-,2022,95.0
kulon_progo,laundry,-,2023,105.0
kulon_progo,restaurant,-,2019,680.0
kulon_progo,restaurant,-,2020,660.0
kulon_progo,restaurant,-,2021,690.0
kulon_progo,restaurant,-,2022,720.0
kulon_progo,restaurant,-,2023,760.0
sleman,cafe,-,2019,880.0
sleman,cafe,-,2020,860.0
sleman,cafe,-,2021,920.0
sleman,cafe,-,2022,1020.0
sleman,cafe,-,2023,1150.0
sleman,convenience,-,2019,580.0
sleman,convenience,-,2020,590.0
sleman,convenience,-,2021,610.0
sleman,convenience,-,2022,635.0
sleman,convenience,-,2023,660.0
sleman,grocery,-,2019,3400.0
sleman,grocery,-,2020,3380.0
sleman,grocery,-,2021,3360.0
sleman,grocery,-,2022,3340.0
sleman,grocery,-,2023,3320.0
sleman,laundry,-,2019,620.0
sleman,laundry,-,2020,590.0
sleman,laundry,-,2021,615.0
sleman,laundry,-,2022,660.0
sleman,laundry,-,2023,710.0
sleman,restaurant,-,2019,2100.0
sleman,restaurant,-,2020,2050.0
sleman,restaurant,-,2021,2140.0
sleman,restaurant,-,2022,2290.0
sleman,restaurant,-,2023,2450.0
