sektor,sektor_label,wilayah,wilayah_label,jumlah_kompetitor,rasio_kompetitor_per_1000,pdrb_per_kapita,pengeluaran_per_kapita,harga_sewa_per_m2_tahun,rasio_umkm_total_per_1000,skor,kategori
cafe,Kafe / Kedai Kopi,kota_yogyakarta,Kota Yogyakarta,108,0.2919,131433.33,2248145.0,850000.0,114.87,71.0,Layak
cafe,Kafe / Kedai Kopi,sleman,Kabupaten Sleman,200,0.1695,54501.31,2181883.0,725000.0,96.36,56.7,Cukup Layak
cafe,Kafe / Kedai Kopi,bantul,Kabupaten Bantul,30,0.0292,35842.51,1730515.0,450000.0,91.84,55.59,Cukup Layak
cafe,Kafe / Kedai Kopi,gunungkidul,Kabupaten Gunungkidul,32,0.0425,35503.53,1163499.0,220000.0,78.32,49.65,Kurang Layak
cafe,Kafe / Kedai Kopi,kulon_progo,Kabupaten Kulon Progo,44,0.0984,37976.68,1152288.0,275000.0,85.75,45.89,Kurang Layak
convenience,Minimarket / Toko Kelontong,kota_yogyakarta,Kota Yogyakarta,11,0.0297,131433.33,2248145.0,850000.0,114.87,81.5,Layak
convenience,Minimarket / Toko Kelontong,bantul,Kabupaten Bantul,51,0.0497,35842.51,1730515.0,450000.0,91.84,54.66,Cukup Layak
convenience,Minimarket / Toko Kelontong,sleman,Kabupaten Sleman,292,0.2475,54501.31,2181883.0,725000.0,96.36,52.22,Cukup Layak
convenience,Minimarket / Toko Kelontong,kulon_progo,Kabupaten Kulon Progo,14,0.0313,37976.68,1152288.0,275000.0,85.75,48.59,Kurang Layak
convenience,Minimarket / Toko Kelontong,gunungkidul,Kabupaten Gunungkidul,193,0.2563,35503.53,1163499.0,220000.0,78.32,39.68,Kurang Layak
grocery,Toko Kelontong Tradisional,kota_yogyakarta,Kota Yogyakarta,0,0.0,131433.33,2248145.0,850000.0,114.87,81.5,Layak
grocery,Toko Kelontong Tradisional,bantul,Kabupaten Bantul,0,0.0,35842.51,1730515.0,450000.0,91.84,55.59,Cukup Layak
grocery,Toko Kelontong Tradisional,sleman,Kabupaten Sleman,1,0.0008,54501.31,2181883.0,725000.0,96.36,51.81,Cukup Layak
grocery,Toko Kelontong Tradisional,gunungkidul,Kabupaten Gunungkidul,0,0.0,35503.53,1163499.0,220000.0,78.32,50.18,Cukup Layak
grocery,Toko Kelontong Tradisional,kulon_progo,Kabupaten Kulon Progo,0,0.0,37976.68,1152288.0,275000.0,85.75,48.66,Kurang Layak
laundry,Jasa Laundry,kota_yogyakarta,Kota Yogyakarta,0,0.0,131433.33,2248145.0,850000.0,114.87,81.5,Layak
laundry,Jasa Laundry,sleman,Kabupaten Sleman,46,0.039,54501.31,2181883.0,725000.0,96.36,51.81,Cukup Layak
laundry,Jasa Laundry,gunungkidul,Kabupaten Gunungkidul,0,0.0,35503.53,1163499.0,220000.0,78.32,50.18,Cukup Layak
laundry,Jasa Laundry,kulon_progo,Kabupaten Kulon Progo,0,0.0,37976.68,1152288.0,275000.0,85.75,48.66,Kurang Layak
laundry,Jasa Laundry,bantul,Kabupaten Bantul,36,0.0351,35842.51,1730515.0,450000.0,91.84,46.14,Kurang Layak
restaurant,Restoran / Warung Makan,kota_yogyakarta,Kota Yogyakarta,39,0.1054,131433.33,2248145.0,850000.0,114.87,81.5,Layak
restaurant,Restoran / Warung Makan,bantul,Kabupaten Bantul,186,0.1813,35842.51,1730515.0,450000.0,91.84,54.3,Cukup Layak
restaurant,Restoran / Warung Makan,sleman,Kabupaten Sleman,854,0.7238,54501.31,2181883.0,725000.0,96.36,51.81,Cukup Layak
restaurant,Restoran / Warung Makan,kulon_progo,Kabupaten Kulon Progo,197,0.4406,37976.68,1152288.0,275000.0,85.75,42.97,Kurang Layak
restaurant,Restoran / Warung Makan,gunungkidul,Kabupaten Gunungkidul,462,0.6136,35503.53,1163499.0,220000.0,78.32,41.55,Kurang Layak
