wilayah,wilayah_label,sektor_usaha,kbli,tahun,jumlah_usaha,pertumbuhan_tahunan_unit,pertumbuhan_tahunan_pct,google_trends_score
bantul,Kabupaten Bantul,cafe,-,2019,340.0,,,
bantul,Kabupaten Bantul,cafe,-,2020,330.0,-10.0,-2.94,
bantul,Kabupaten Bantul,cafe,-,2021,360.0,30.0,9.09,41.65
bantul,Kabupaten Bantul,cafe,-,2022,400.0,40.0,11.11,42.69
bantul,Kabupaten Bantul,cafe,-,2023,450.0,50.0,12.5,40.74
bantul,Kabupaten Bantul,convenience,-,2019,410.0,,,
bantul,Kabupaten Bantul,convenience,-,2020,415.0,5.0,1.22,
bantul,Kabupaten Bantul,convenience,-,2021,425.0,10.0,2.41,33.41
bantul,Kabupaten Bantul,convenience,-,2022,440.0,15.0,3.53,35.27
bantul,Kabupaten Bantul,convenience,-,2023,460.0,20.0,4.55,30.83
bantul,Kabupaten Bantul,grocery,-,2019,2900.0,,,
bantul,Kabupaten Bantul,grocery,-,2020,2890.0,-10.0,-0.34,
bantul,Kabupaten Bantul,grocery,-,2021,2870.0,-20.0,-0.69,44.24
bantul,Kabupaten Bantul,grocery,-,2022,2850.0,-20.0,-0.7,44.52
bantul,Kabupaten Bantul,grocery,-,2023,2830.0,-20.0,-0.7,39.94
bantul,Kabupaten Bantul,laundry,-,2019,280.0,,,
bantul,Kabupaten Bantul,laundry,-,2020,270.0,-10.0,-3.57,
bantul,Kabupaten Bantul,laundry,-,2021,280.0,10.0,3.7,38.82
bantul,Kabupaten Bantul,laundry,-,2022,300.0,20.0,7.14,48.21
bantul,Kabupaten Bantul,laundry,-,2023,320.0,20.0,6.67,44.62
bantul,Kabupaten Bantul,restaurant,-,2019,1450.0,,,
bantul,Kabupaten Bantul,restaurant,-,2020,1400.0,-50.0,-3.45,
bantul,Kabupaten Bantul,restaurant,-,2021,1460.0,60.0,4.29,34.71
bantul,Kabupaten Bantul,restaurant,-,2022,1540.0,80.0,5.48,36.56
bantul,Kabupaten Bantul,restaurant,-,2023,1620.0,80.0,5.19,32.17
gunungkidul,Kabupaten Gunungkidul,cafe,-,2019,130.0,,,
gunungkidul,Kabupaten Gunungkidul,cafe,-,2020,125.0,-5.0,-3.85,
gunungkidul,Kabupaten Gunungkidul,cafe,-,2021,140.0,15.0,12.0,41.65
