Badan Pusat Statistik Provinsi D.I. Yogyakarta
Tabel: Jumlah Unit Usaha Mikro dan Kecil Menurut Kabupaten/Kota dan Kategori Sektor Usaha (2019-2023)
Kategori,Wilayah,2019,2020,2021,2022,2023
Restoran dan Rumah Makan,Kota Yogyakarta,1240,1180,1210,1290,1380
Restoran dan Rumah Makan,Kabupaten Sleman,2100,2050,2140,2290,2450
Restoran dan Rumah Makan,Kabupaten Bantul,1450,1400,1460,1540,1620
Restoran dan Rumah Makan,Kabupaten Kulon Progo,680,660,690,720,760
Restoran dan Rumah Makan,Kabupaten Gunungkidul,790,770,800,840,890
Kafe dan Kedai Kopi Minuman,Kota Yogyakarta,510,490,530,590,660
Kafe dan Kedai Kopi Minuman,Kabupaten Sleman,880,860,920,1020,1150
Kafe dan Kedai Kopi Minuman,Kabupaten Bantul,340,330,360,400,450
Kafe dan Kedai Kopi Minuman,Kabupaten Kulon Progo,110,105,120,135,155
Kafe dan Kedai Kopi Minuman,Kabupaten Gunungkidul,130,125,140,155,175
Minimarket dan Toko Modern,Kota Yogyakarta,320,325,330,340,355
Minimarket dan Toko Modern,Kabupaten Sleman,580,590,610,635,660
Minimarket dan Toko Modern,Kabupaten Bantul,410,415,425,440,460
Minimarket dan Toko Modern,Kabupaten Kulon Progo,190,195,200,210,220
Minimarket dan Toko Modern,Kabupaten Gunungkidul,210,215,220,230,240
Jasa Pencucian / Laundry,Kota Yogyakarta,290,270,285,310,330
Jasa Pencucian / Laundry,Kabupaten Sleman,620,590,615,660,710
Jasa Pencucian / Laundry,Kabupaten Bantul,280,270,280,300,320
Jasa Pencucian / Laundry,Kabupaten Kulon Progo,85,80,88,95,105
Jasa Pencucian / Laundry,Kabupaten Gunungkidul,90,85,92,100,110
Toko Kelontong Tradisional,Kota Yogyakarta,1850,1830,1810,1800,1790
Toko Kelontong Tradisional,Kabupaten Sleman,3400,3380,3360,3340,3320
Toko Kelontong Tradisional,Kabupaten Bantul,2900,2890,2870,2850,2830
Toko Kelontong Tradisional,Kabupaten Kulon Progo,1750,1740,1730,1720,1710
Toko Kelontong Tradisional,Kabupaten Gunungkidul,2100,2090,2080,2070,2060
Sumber: BPS Provinsi D.I. Yogyakarta - Survei Usaha Terintegrasi & Profil UMKM
Catatan: Angka tahun 2023 merupakan angka sementara (angka tetap publikasi 2024).
