sektor_usaha,keyword,tanggal,tahun,trend_index
cafe,coffee shop jogja,2021-09-05,2021,0.0
cafe,coffee shop jogja,2021-09-12,2021,34.0
cafe,coffee shop jogja,2021-09-19,2021,47.0
cafe,coffee shop jogja,2021-09-26,2021,0.0
cafe,coffee shop jogja,2021-10-03,2021,37.0
cafe,coffee shop jogja,2021-10-10,2021,45.0
cafe,coffee shop jogja,2021-10-17,2021,58.0
cafe,coffee shop jogja,2021-10-24,2021,39.0
cafe,coffee shop jogja,2021-10-31,2021,45.0
cafe,coffee shop jogja,2021-11-07,2021,41.0
cafe,coffee shop jogja,2021-11-14,2021,48.0
cafe,coffee shop jogja,2021-11-21,2021,81.0
cafe,coffee shop jogja,2021-11-28,2021,50.0
cafe,coffee shop jogja,2021-12-05,2021,47.0
cafe,coffee shop jogja,2021-12-12,2021,45.0
cafe,coffee shop jogja,2021-12-19,2021,46.0
cafe,coffee shop jogja,2021-12-26,2021,45.0
cafe,coffee shop jogja,2022-01-02,2022,48.0
cafe,coffee shop jogja,2022-01-09,2022,40.0
cafe,coffee shop jogja,2022-01-16,2022,59.0
cafe,coffee shop jogja,2022-01-23,2022,38.0
cafe,coffee shop jogja,2022-01-30,2022,62.0
cafe,coffee shop jogja,2022-02-06,2022,34.0
cafe,coffee shop jogja,2022-02-13,2022,22.0
cafe,coffee shop jogja,2022-02-20,2022,31.0
cafe,coffee shop jogja,2022-02-27,2022,49.0
cafe,coffee shop jogja,2022-03-06,2022,42.0
cafe,coffee shop jogja,2022-03-13,2022,50.0
cafe,coffee shop jogja,2022-03-20,2022,65.0
cafe,coffee shop jogja,2022-03-27,2022,50.0
cafe,coffee shop jogja,2022-04-03,2022,20.0
cafe,coffee shop jogja,2022-04-10,2022,35.0
cafe,coffee shop jogja,2022-04-17,2022,30.0
cafe,coffee shop jogja,2022-04-24,2022,28.0
cafe,coffee shop jogja,2022-05-01,2022,100.0
cafe,coffee shop jogja,2022-05-08,2022,48.0
cafe,coffee shop jogja,2022-05-15,2022,43.0
cafe,coffee shop jogja,2022-05-22,2022,66.0
cafe,coffee shop jogja,2022-05-29,2022,47.0
cafe,coffee shop jogja,2022-06-05,2022,41.0
cafe,coffee shop jogja,2022-06-12,2022,35.0
cafe,coffee shop jogja,2022-06-19,2022,44.0
cafe,coffee shop jogja,2022-06-26,2022,65.0
cafe,coffee shop jogja,2022-07-03,2022,47.0
cafe,coffee shop jogja,2022-07-10,2022,37.0
cafe,coffee shop jogja,2022-07-17,2022,37.0
cafe,coffee shop jogja,2022-07-24,2022,28.0
cafe,coffee shop jogja,2022-07-31,2022,23.0
cafe,coffee shop jogja,2022-08-07,2022,43.0
cafe,coffee shop jogja,2022-08-14,2022,50.0
cafe,coffee shop jogja,2022-08-21,2022,34.0
cafe,coffee shop jogja,2022-08-28,2022,30.0
cafe,coffee shop jogja,2022-09-04,2022,32.0
cafe,coffee shop jogja,2022-09-11,2022,37.0
cafe,coffee shop jogja,2022-09-18,2022,31.0
cafe,coffee shop jogja,2022-09-25,2022,47.0
cafe,coffee shop jogja,2022-10-02,2022,34.0
cafe,coffee shop jogja,2022-10-09,2022,40.0
cafe,coffee shop jogja,2022-10-16,2022,37.0
cafe,coffee shop jogja,2022-10-23,2022,45.0
cafe,coffee shop jogja,2022-10-30,2022,63.0
cafe,coffee shop jogja,2022-11-06,2022,29.0
cafe,coffee shop jogja,2022-11-13,2022,40.0
cafe,coffee shop jogja,2022-11-20,2022,42.0
cafe,coffee shop jogja,2022-11-27,2022,29.0
cafe,coffee shop jogja,2022-12-04,2022,41.0
cafe,coffee shop jogja,2022-12-11,2022,53.0
cafe,coffee shop jogja,2022-12-18,2022,49.0
cafe,coffee shop jogja,2022-12-25,2022,50.0
cafe,coffee shop jogja,2023-01-01,2023,25.0
cafe,coffee shop jogja,2023-01-08,2023,46.0
cafe,coffee shop jogja,2023-01-15,2023,59.0
cafe,coffee shop jogja,2023-01-22,2023,31.0
cafe,coffee shop jogja,2023-01-29,2023,47.0
cafe,coffee shop jogja,2023-02-05,2023,38.0
cafe,coffee shop jogja,2023-02-12,2023,34.0
cafe,coffee shop jogja,2023-02-19,2023,35.0
cafe,coffee shop jogja,2023-02-26,2023,36.0
cafe,coffee shop jogja,2023-03-05,2023,29.0
cafe,coffee shop jogja,2023-03-12,2023,43.0
cafe,coffee shop jogja,2023-03-19,2023,42.0
cafe,coffee shop jogja,2023-03-26,2023,21.0
cafe,coffee shop jogja,2023-04-02,2023,28.0
cafe,coffee shop jogja,2023-04-09,2023,0.0
cafe,coffee shop jogja,2023-04-16,2023,43.0
cafe,coffee shop jogja,2023-04-23,2023,81.0
cafe,coffee shop jogja,2023-04-30,2023,41.0
cafe,coffee shop jogja,2023-05-07,2023,34.0
cafe,coffee shop jogja,2023-05-14,2023,37.0
cafe,coffee shop jogja,2023-05-21,2023,43.0
cafe,coffee shop jogja,2023-05-28,2023,65.0
cafe,coffee shop jogja,2023-06-04,2023,28.0
cafe,coffee shop jogja,2023-06-11,2023,28.0
cafe,coffee shop jogja,2023-06-18,2023,45.0
cafe,coffee shop jogja,2023-06-25,2023,50.0
cafe,coffee shop jogja,2023-07-02,2023,46.0
cafe,coffee shop jogja,2023-07-09,2023,33.0
cafe,coffee shop jogja,2023-07-16,2023,57.0
cafe,coffee shop jogja,2023-07-23,2023,34.0
cafe,coffee shop jogja,2023-07-30,2023,33.0
cafe,coffee shop jogja,2023-08-06,2023,41.0
cafe,coffee shop jogja,2023-08-13,2023,42.0
cafe,coffee shop jogja,2023-08-20,2023,44.0
cafe,coffee shop jogja,2023-08-27,2023,40.0
cafe,coffee shop jogja,2023-09-03,2023,51.0
cafe,coffee shop jogja,2023-09-10,2023,54.0
cafe,coffee shop jogja,2023-09-17,2023,25.0
cafe,coffee shop jogja,2023-09-24,2023,55.0
cafe,coffee shop jogja,2023-10-01,2023,41.0
cafe,coffee shop jogja,2023-10-08,2023,34.0
cafe,coffee shop jogja,2023-10-15,2023,31.0
cafe,coffee shop jogja,2023-10-22,2023,34.0
cafe,coffee shop jogja,2023-10-29,2023,43.0
cafe,coffee shop jogja,2023-11-05,2023,39.0
cafe,coffee shop jogja,2023-11-12,2023,32.0
cafe,coffee shop jogja,2023-11-19,2023,39.0
cafe,coffee shop jogja,2023-11-26,2023,50.0
cafe,coffee shop jogja,2023-12-03,2023,31.0
cafe,coffee shop jogja,2023-12-10,2023,54.0
cafe,coffee shop jogja,2023-12-17,2023,52.0
cafe,coffee shop jogja,2023-12-24,2023,65.0
cafe,coffee shop jogja,2023-12-31,2023,50.0
cafe,coffee shop jogja,2024-01-07,2024,33.0
cafe,coffee shop jogja,2024-01-14,2024,36.0
cafe,coffee shop jogja,2024-01-21,2024,28.0
cafe,coffee shop jogja,2024-01-28,2024,33.0
cafe,coffee shop jogja,2024-02-04,2024,41.0
cafe,coffee shop jogja,2024-02-11,2024,36.0
cafe,coffee shop jogja,2024-02-18,2024,34.0
cafe,coffee shop jogja,2024-02-25,2024,29.0
cafe,coffee shop jogja,2024-03-03,2024,40.0
cafe,coffee shop jogja,2024-03-10,2024,0.0
cafe,coffee shop jogja,2024-03-17,2024,45.0
cafe,coffee shop jogja,2024-03-24,2024,0.0
cafe,coffee shop jogja,2024-03-31,2024,31.0
cafe,coffee shop jogja,2024-04-07,2024,55.0
cafe,coffee shop jogja,2024-04-14,2024,42.0
cafe,coffee shop jogja,2024-04-21,2024,27.0
cafe,coffee shop jogja,2024-04-28,2024,0.0
cafe,coffee shop jogja,2024-05-05,2024,45.0
cafe,coffee shop jogja,2024-05-12,2024,38.0
cafe,coffee shop jogja,2024-05-19,2024,37.0
cafe,coffee shop jogja,2024-05-26,2024,37.0
cafe,coffee shop jogja,2024-06-02,2024,29.0
cafe,coffee shop jogja,2024-06-09,2024,41.0
cafe,coffee shop jogja,2024-06-16,2024,36.0
cafe,coffee shop jogja,2024-06-23,2024,0.0
cafe,coffee shop jogja,2024-06-30,2024,37.0
cafe,coffee shop jogja,2024-07-07,2024,33.0
cafe,coffee shop jogja,2024-07-14,2024,33.0
cafe,coffee shop jogja,2024-07-21,2024,0.0
cafe,coffee shop jogja,2024-07-28,2024,29.0
cafe,coffee shop jogja,2024-08-04,2024,33.0
cafe,coffee shop jogja,2024-08-11,2024,39.0
cafe,coffee shop jogja,2024-08-18,2024,39.0
cafe,coffee shop jogja,2024-08-25,2024,0.0
cafe,coffee shop jogja,2024-09-01,2024,0.0
cafe,coffee shop jogja,2024-09-08,2024,40.0
cafe,coffee shop jogja,2024-09-15,2024,49.0
cafe,coffee shop jogja,2024-09-22,2024,33.0
cafe,coffee shop jogja,2024-09-29,2024,50.0
cafe,coffee shop jogja,2024-10-06,2024,0.0
cafe,coffee shop jogja,2024-10-13,2024,0.0
cafe,coffee shop jogja,2024-10-20,2024,39.0
cafe,coffee shop jogja,2024-10-27,2024,64.0
cafe,coffee shop jogja,2024-11-03,2024,36.0
cafe,coffee shop jogja,2024-11-10,2024,31.0
cafe,coffee shop jogja,2024-11-17,2024,37.0
cafe,coffee shop jogja,2024-11-24,2024,57.0
cafe,coffee shop jogja,2024-12-01,2024,44.0
cafe,coffee shop jogja,2024-12-08,2024,0.0
cafe,coffee shop jogja,2024-12-15,2024,34.0
cafe,coffee shop jogja,2024-12-22,2024,65.0
cafe,coffee shop jogja,2024-12-29,2024,0.0
cafe,coffee shop jogja,2025-01-05,2025,0.0
cafe,coffee shop jogja,2025-01-12,2025,0.0
cafe,coffee shop jogja,2025-01-19,2025,40.0
cafe,coffee shop jogja,2025-01-26,2025,50.0
cafe,coffee shop jogja,2025-02-02,2025,0.0
cafe,coffee shop jogja,2025-02-09,2025,33.0
cafe,coffee shop jogja,2025-02-16,2025,31.0
cafe,coffee shop jogja,2025-02-23,2025,39.0
cafe,coffee shop jogja,2025-03-02,2025,33.0
cafe,coffee shop jogja,2025-03-09,2025,0.0
cafe,coffee shop jogja,2025-03-16,2025,0.0
cafe,coffee shop jogja,2025-03-23,2025,0.0
cafe,coffee shop jogja,2025-03-30,2025,66.0
cafe,coffee shop jogja,2025-04-06,2025,0.0
cafe,coffee shop jogja,2025-04-13,2025,29.0
cafe,coffee shop jogja,2025-04-20,2025,45.0
cafe,coffee shop jogja,2025-04-27,2025,53.0
cafe,coffee shop jogja,2025-05-04,2025,36.0
cafe,coffee shop jogja,2025-05-11,2025,81.0
cafe,coffee shop jogja,2025-05-18,2025,0.0
cafe,coffee shop jogja,2025-05-25,2025,40.0
cafe,coffee shop jogja,2025-06-01,2025,39.0
cafe,coffee shop jogja,2025-06-08,2025,43.0
cafe,coffee shop jogja,2025-06-15,2025,0.0
cafe,coffee shop jogja,2025-06-22,2025,45.0
cafe,coffee shop jogja,2025-06-29,2025,42.0
cafe,coffee shop jogja,2025-07-06,2025,0.0
cafe,coffee shop jogja,2025-07-13,2025,36.0
cafe,coffee shop jogja,2025-07-20,2025,29.0
cafe,coffee shop jogja,2025-07-27,2025,42.0
cafe,coffee shop jogja,2025-08-03,2025,0.0
cafe,coffee shop jogja,2025-08-10,2025,31.0
cafe,coffee shop jogja,2025-08-17,2025,0.0
cafe,coffee shop jogja,2025-08-24,2025,41.0
cafe,coffee shop jogja,2025-08-31,2025,50.0
cafe,coffee shop jogja,2025-09-07,2025,0.0
cafe,coffee shop jogja,2025-09-14,2025,31.0
cafe,coffee shop jogja,2025-09-21,2025,0.0
cafe,coffee shop jogja,2025-09-28,2025,39.0
cafe,coffee shop jogja,2025-10-05,2025,28.0
cafe,coffee shop jogja,2025-10-12,2025,32.0
cafe,coffee shop jogja,2025-10-19,2025,0.0
cafe,coffee shop jogja,2025-10-26,2025,0.0
cafe,coffee shop jogja,2025-11-02,2025,29.0
cafe,coffee shop jogja,2025-11-09,2025,43.0
cafe,coffee shop jogja,2025-11-16,2025,0.0
cafe,coffee shop jogja,2025-11-23,2025,30.0
cafe,coffee shop jogja,2025-11-30,2025,0.0
cafe,coffee shop jogja,2025-12-07,2025,38.0
cafe,coffee shop jogja,2025-12-14,2025,35.0
cafe,coffee shop jogja,2025-12-21,2025,37.0
cafe,coffee shop jogja,2025-12-28,2025,60.0
cafe,coffee shop jogja,2026-01-04,2026,40.0
cafe,coffee shop jogja,2026-01-11,2026,36.0
cafe,coffee shop jogja,2026-01-18,2026,38.0
cafe,coffee shop jogja,2026-01-25,2026,37.0
cafe,coffee shop jogja,2026-02-01,2026,34.0
cafe,coffee shop jogja,2026-02-08,2026,31.0
cafe,coffee shop jogja,2026-02-15,2026,0.0
cafe,coffee shop jogja,2026-02-22,2026,29.0
cafe,coffee shop jogja,2026-03-01,2026,40.0
cafe,coffee shop jogja,2026-03-08,2026,37.0
cafe,coffee shop jogja,2026-03-15,2026,0.0
cafe,coffee shop jogja,2026-03-22,2026,49.0
cafe,coffee shop jogja,2026-03-29,2026,39.0
cafe,coffee shop jogja,2026-04-05,2026,27.0
cafe,coffee shop jogja,2026-04-12,2026,36.0
cafe,coffee shop jogja,2026-04-19,2026,36.0
cafe,coffee shop jogja,2026-04-26,2026,55.0
cafe,coffee shop jogja,2026-05-03,2026,0.0
cafe,coffee shop jogja,2026-05-10,2026,45.0
cafe,coffee shop jogja,2026-05-17,2026,29.0
cafe,coffee shop jogja,2026-05-24,2026,0.0
cafe,coffee shop jogja,2026-05-31,2026,40.0
cafe,coffee shop jogja,2026-06-07,2026,38.0
cafe,coffee shop jogja,2026-06-14,2026,55.0
cafe,coffee shop jogja,2026-06-21,2026,30.0
cafe,coffee shop jogja,2026-06-28,2026,40.0
cafe,coffee shop jogja,2026-07-05,2026,70.0
cafe,coffee shop jogja,2026-07-12,2026,45.0
cafe,coffee shop jogja,2026-07-19,2026,52.0
cafe,coffee shop jogja,2026-07-26,2026,0.0
cafe,coffee shop jogja,2026-08-02,2026,0.0
cafe,coffee shop jogja,2026-08-09,2026,0.0
cafe,coffee shop jogja,2026-08-16,2026,33.0
cafe,coffee shop jogja,2026-08-23,2026,52.0
cafe,coffee shop jogja,2026-08-30,2026,27.0
cafe,coffee shop jogja,2026-09-06,2026,25.0
restaurant,kuliner jogja,2021-09-05,2021,20.0
restaurant,kuliner jogja,2021-09-12,2021,22.0
restaurant,kuliner jogja,2021-09-19,2021,22.0
restaurant,kuliner jogja,2021-09-26,2021,23.0
restaurant,kuliner jogja,2021-10-03,2021,31.0
restaurant,kuliner jogja,2021-10-10,2021,36.0
restaurant,kuliner jogja,2021-10-17,2021,44.0
restaurant,kuliner jogja,2021-10-24,2021,35.0
restaurant,kuliner jogja,2021-10-31,2021,29.0
restaurant,kuliner jogja,2021-11-07,2021,33.0
restaurant,kuliner jogja,2021-11-14,2021,36.0
